Geo Point;Geo Shape;Kommune;Gewerbegebiet;Größe;Verfügbarkeit;Art;Exposelink;blockiert;Frei parzellierbar;Geplant;24h-Betrieb;code
51.08429814094592, 6.621511650183673;"{""coordinates"": [[[6.620821537611044, 51.08456729590146], [6.621218008163376, 51.08478965155974], [6.621349437977648, 51.084672191841435], [6.621384435442803, 51.084687741010086], [6.62215986029774, 51.0839935917992], [6.621923931263095, 51.083763356847804], [6.620821537611044, 51.08456729590146]]], ""type"": ""Polygon""}";Grevenbroich;Industriegebiet-Ost;3892;Nicht verfügbare Fläche;Gewerbefläche;;;;;;051620080036
51.082819442986306, 6.622367463534948;"{""coordinates"": [[[6.622405677987032, 51.08263987756698], [6.622077502752491, 51.08277347689261], [6.622329093914115, 51.08299899513706], [6.622657505405575, 51.082865399284316], [6.622405677987032, 51.08263987756698]]], ""type"": ""Polygon""}";Grevenbroich;Industriegebiet-Ost;839;Nicht verfügbare Fläche;Grünfläche;;;;;;051620080036
51.08272589223664, 6.622596830881736;"{""coordinates"": [[[6.62253676015329, 51.08258643355273], [6.622405677987032, 51.08263987756698], [6.622657505405575, 51.082865399284316], [6.6227878626314, 51.082812300329216], [6.62253676015329, 51.08258643355273]]], ""type"": ""Polygon""}";Grevenbroich;Industriegebiet-Ost;334;Nicht verfügbare Fläche;Grünfläche;;;;;;051620080036
51.08575183511011, 6.61232807203291;"{""coordinates"": [[[6.611545870855457, 51.08569883317382], [6.61214324423119, 51.0862333079363], [6.613110418076783, 51.085804359107975], [6.612512883902614, 51.085270605064046], [6.611545870855457, 51.08569883317382]]], ""type"": ""Polygon""}";Grevenbroich;Industriegebiet-Ost;6021;Nicht verfügbare Fläche;Gewerbefläche;;;;;;051620080036
51.08379730859302, 6.618894265728817;"{""coordinates"": [[[6.618487578857293, 51.083883284324436], [6.618629538723328, 51.08401017951514], [6.619300867701456, 51.083711111592116], [6.619159721709069, 51.0835844136535], [6.618487578857293, 51.083883284324436]]], ""type"": ""Polygon""}";Grevenbroich;Industriegebiet-Ost;993;Nicht verfügbare Fläche;Gewerbefläche;;;;;;051620080036
51.08420531875832, 6.6173987875267075;"{""coordinates"": [[[6.616473002628083, 51.08352235484853], [6.616385574991371, 51.08354871713975], [6.618040492730279, 51.08502903590444], [6.618302468416587, 51.0848620860232], [6.618318953400366, 51.08480019596342], [6.618275583636763, 51.084734478207615], [6.616849429071479, 51.08346295104163], [6.616745689825838, 51.083444739607344], [6.616473002628083, 51.08352235484853]]], ""type"": ""Polygon""}";Grevenbroich;Industriegebiet-Ost;6333;Nicht verfügbare Fläche;Gewerbefläche;;;;;;051620080036
51.08404980988082, 6.619159969633145;"{""coordinates"": [[[6.618629538723328, 51.08401017951514], [6.619075984351545, 51.084410076819864], [6.619591419695267, 51.08410180601198], [6.619634064518435, 51.084037211920986], [6.619608540686267, 51.08398624568789], [6.619300867701456, 51.083711111592116], [6.618629538723328, 51.08401017951514]]], ""type"": ""Polygon""}";Grevenbroich;Industriegebiet-Ost;2877;Nicht verfügbare Fläche;Gewerbefläche;;;;;;051620080036
51.08458626823403, 6.615761975918274;"{""coordinates"": [[[6.61395304859307, 51.084072769803505], [6.61395459728862, 51.08412046016509], [6.614031594586567, 51.0842167199223], [6.615538734969662, 51.085560972916845], [6.617609436141194, 51.084643655393116], [6.616750973716339, 51.08387557252562], [6.615750976328579, 51.0843191681591], [6.615209619199019, 51.083835311565316], [6.614076383688319, 51.08401225333189], [6.613991659082297, 51.084038668952765], [6.61395304859307, 51.084072769803505]]], ""type"": ""Polygon""}";Grevenbroich;Industriegebiet-Ost;26191;Nicht verfügbare Fläche;Gewerbefläche;;;;;;051620080036
51.08290992536586, 6.618967725989396;"{""coordinates"": [[[6.618933807093211, 51.08279047699877], [6.618627461818392, 51.08291605919943], [6.618830318477536, 51.083099767233655], [6.619302190919869, 51.082908137313325], [6.619110731186734, 51.082718008253806], [6.618933807093211, 51.08279047699877]]], ""type"": ""Polygon""}";Grevenbroich;Industriegebiet-Ost;996;Nicht verfügbare Fläche;Gewerbefläche;;;;;;051620080036
51.08457255924834, 6.618550910481945;"{""coordinates"": [[[6.618297585174703, 51.08456524468146], [6.618425219606901, 51.084677640681534], [6.618528524067944, 51.084704384342366], [6.618613664593942, 51.08468588729891], [6.618815771159825, 51.084565734491356], [6.618620198041003, 51.08443495901396], [6.618560307361012, 51.08447078632533], [6.61851112190426, 51.08443804121343], [6.618297585174703, 51.08456524468146]]], ""type"": ""Polygon""}";Grevenbroich;Industriegebiet-Ost;646;Nicht verfügbare Fläche;Wohnbereich;;;;;;051620080036
