Berufsbezeichnung,Datum,In_Neuordnung,Ministerium,Anzahl
Immobilienkaufmann/-frau,2006-02-14T00:00:00Z,Nein,BMWK,3312
Industrieelektriker/-in,2009-05-28T00:00:00Z,Nein,BMWK,746
Industrie-Isolierer/-in,1997-01-31T00:00:00Z,Nein,BMWK,57
Industriekaufmann/-frau,2007-07-20T00:00:00Z,Ja,BMWK,16023
Industriekeramiker /-in – Anlagentechnik,2005-06-03T00:00:00Z,Nein,BMWK,24
Industriekeramiker/-in – Dekorationstechnik,2005-06-03T00:00:00Z,Nein,BMWK,10
Industriekeramiker/-in – Modelltechnik,2005-06-03T00:00:00Z,Nein,BMWK,39
Industriekeramiker/-in – Verfahrenstechnik,2005-06-03T00:00:00Z,Nein,BMWK,15
Industriemechaniker/-in,2018-06-28T00:00:00Z,Nein,BMWK,10719
Informationselektroniker/-in,2021-03-30T00:00:00Z,Nein,BMWK,897
Investmentfondskaufmann/-frau,2003-05-21T00:00:00Z,Nein,BMWK,15
Isolierfacharbeiter/-in,1997-01-31T00:00:00Z,Nein,BMWK,66
IT-Systemelektroniker/-in,2020-02-28T00:00:00Z,Nein,BMWK,1413
Kanalbauer/-in,2009-02-20T00:00:00Z,Ja,BMWK,112
Karosserie- und Fahrzeugbaumechaniker/-in,2023-05-01T00:00:00Z,Nein,BMWK,1324
Kaufmann/-frau für audiovisuelle Medien,1998-05-15T00:00:00Z,Nein,BMWK,186
Kaufmann/-frau für Büromanagement,2020-05-29T00:00:00Z,Ja,BMWK,23198
Kaufmann/-frau für Dialogmarketing,2006-05-23T00:00:00Z,Nein,BMWK,759
Kaufmann/-frau für Digitalisierungsmanagement,2020-02-28T00:00:00Z,Nein,BMWK,910
Kaufmann/-frau für Groß- und Außenhandelsmanagement,2021-06-29T00:00:00Z,Nein,BMWK,10578
Kaufmann/-frau für Hotelmanagement,2022-03-09T00:00:00Z,Nein,BMWK,288
Kaufmann/-frau für IT-System-Management,2020-02-28T00:00:00Z,Nein,BMWK,1122
"Kaufmann/-frau für Kurier,-Express- und Postdienstleistungen",2005-03-22T00:00:00Z,Nein,BMWK,44
Kaufmann/-frau für Marketingkommunikation,2006-03-31T00:00:00Z,Nein,BMWK,1178
Kaufmann/-frau für Spedition und Logistikdienstleistung,2004-07-26T00:00:00Z,Nein,BMWK,4770
Kaufmann/-frau für Tourismus und Freizeit,2005-03-18T00:00:00Z,Nein,BMWK,310
Kaufmann/-frau für Verkehrsservice,2004-07-20T00:00:00Z,Nein,BMWK,303
Kaufmann/-frau für Versicherungen und Finanzanlagen,2022-03-02T00:00:00Z,Nein,BMWK,4461
Kaufmann/-frau im E-Commerce,2017-12-13T00:00:00Z,Nein,BMWK,1742
Kaufmann/-frau im Einzelhandel,2017-06-01T00:00:00Z,Nein,BMWK,17151
Kaufmann/-frau im Eisenbahn- und Straßenverkehr,1999-07-12T00:00:00Z,Nein,BMWK,0
Kaufmann/-frau im Gesundheitswesen,2016-05-24T00:00:00Z,Nein,BMWK,2156
Keramiker/-in,2011-03-01T00:00:00Z,Nein,BMWK,21
Kerzenhersteller/-in und Wachsbildner/-in,2015-07-16T00:00:00Z,Nein,BMWK,3
Klavier- und Cembalobauer/-in,2017-12-29T00:00:00Z,Nein,BMWK,51
Klempner/-in,2013-06-21T00:00:00Z,Nein,BMWK,324
Koch/Köchin,2022-03-09T00:00:00Z,Nein,BMWK,7220
Konditor/-in,2003-06-03T00:00:00Z,Nein,BMWK,1647
Konstruktionsmechaniker /-in,2018-06-28T00:00:00Z,Nein,BMWK,2024
Kosmetiker/-in,2002-01-09T00:00:00Z,Nein,BMWK,273
Kraftfahrzeugmechatroniker/-in,2014-01-27T00:00:00Z,Nein,BMWK,22554
Kürschner/-in,1997-02-13T00:00:00Z,Nein,BMWK,0
Kunststoff- und Kautschuktechnologe/ Kunststoff- und Kautschuktechnologin,2023-09-06T00:00:00Z,Nein,BMWK,1456
Lacklaborant/-in,2022-02-10T00:00:00Z,Nein,BMWK,82
Land- und Baumaschinenmechatroniker/-in,2014-06-19T00:00:00Z,Nein,BMWK,2949
Leichtflugzeugbauer/-in,1986-12-02T00:00:00Z,Nein,BMWK,34
Leuchtröhrenglasbläser/-in,1985-12-13T00:00:00Z,Nein,BMWK,0
Luftverkehrskaufmann/-in,2017-03-29T00:00:00Z,Nein,BMWK,36
Maler/-in und Lackierer/-in,2021-06-29T00:00:00Z,Nein,BMWK,7002
Manufakturporzellanmaler/-in,1995-01-24T00:00:00Z,Nein,BMWK,10
Maschinen- und Anlagenführer/-in,2023-06-14T00:00:00Z,Nein,BMWK,4286
Maskenbildner/-in,2002-02-08T00:00:00Z,Nein,BMWK,38
Maßschneider/-in,2005-05-09T00:00:00Z,Nein,BMWK,160
Maßschuhmacher/-in,2018-05-17T00:00:00Z,Nein,BMWK,14
Mathematisch-technischer/-e Softwareentwickler/-in,2007-03-14T00:00:00Z,Nein,BMWK,200
Maurer/-in,1999-06-02T00:00:00Z,Ja,BMWK,3234
Mechaniker/-in für Reifen- und Vulkanisationstechnik,2004-05-12T00:00:00Z,Nein,BMWK,100
Mechatroniker/-in,2018-06-28T00:00:00Z,Nein,BMWK,8300
Mechatroniker/-in für Kältetechnik,2007-07-20T00:00:00Z,Nein,BMWK,1588
Mediengestalter/-in Bild und Ton,2020-02-28T00:00:00Z,Nein,BMWK,858
Mediengestalter/-in Digital und Print,2023-05-15T00:00:00Z,Nein,BMWK,2318
Medienkaufmann/-frau Digital und Print,2006-03-31T00:00:00Z,Nein,BMWK,471
Medientechnologe/-in Druck,2011-04-07T00:00:00Z,Nein,BMWK,519
Medientechnologe/-in Druckverarbeitung,2011-05-20T00:00:00Z,Nein,BMWK,140
Medientechnologe/-in Siebdruck,2011-04-07T00:00:00Z,Nein,BMWK,82
Metall- und Glockengießer/-in,1998-05-15T00:00:00Z,Nein,BMWK,4
Metallbauer/-in,2008-07-25T00:00:00Z,Nein,BMWK,3984
Metallbildner/-in,2016-06-06T00:00:00Z,Nein,BMWK,8
Metallblasinstrumentenmacher/-in,1999-05-26T00:00:00Z,Nein,BMWK,21
Mikrotechnologe/-in,1998-03-06T00:00:00Z,Nein,BMWK,158
Modist/-in,2004-04-15T00:00:00Z,Nein,BMWK,8
Musikfachhändler/-in,2015-10-27T00:00:00Z,Nein,BMWK,14
Naturwerksteinmechaniker/-in,2003-05-09T00:00:00Z,Nein,BMWK,72
Oberflächenbeschichter/-in,2005-04-26T00:00:00Z,Nein,BMWK,160
Ofen- und Luftheizungsbauer/-in,2006-04-06T00:00:00Z,Nein,BMWK,110
Orgelbauer/-in,2019-02-11T00:00:00Z,Nein,BMWK,39
Orthopädieschuhmacher/-in,2015-07-16T00:00:00Z,Nein,BMWK,194
Orthopädietechnik-Mechaniker/-in,2013-05-15T00:00:00Z,Nein,BMWK,572
Packmitteltechnologe/-in,2018-04-03T00:00:00Z,Nein,BMWK,262
Papiertechnologe/-in,2019-07-05T00:00:00Z,Nein,BMWK,195
Parkettleger/-in,2002-06-17T00:00:00Z,Nein,BMWK,250
Pelzveredler/-in,1981-06-29T00:00:00Z,Nein,BMWK,0
Personaldienstleistungskaufmann/-frau,2008-02-13T00:00:00Z,Nein,BMWK,675
Pharmakant/-in,2009-06-10T00:00:00Z,Nein,BMWK,292
Physiklaborant/-in,1996-01-30T00:00:00Z,Nein,BMWK,122
Polster- und Dekorationsnäher/-in,2005-05-09T00:00:00Z,Nein,BMWK,34
Polsterer/-in,2015-03-04T00:00:00Z,Nein,BMWK,34
Präzisionswerkzeugmechaniker/-in,2018-07-18T00:00:00Z,Nein,BMWK,36
Produktgestalter/-in-Textil,2003-06-24T00:00:00Z,Nein,BMWK,3
Produktionsfachkraft Chemie,2005-03-23T00:00:00Z,Nein,BMWK,218
Produktionsmechaniker/-in – Textil,2017-05-07T00:00:00Z,Nein,BMWK,60
