Geografische Koordinaten;ID;Spielgerätename;Spielgeräteart;Stadtbezirk Nr.;Stadtbezirk;Statistischer Bezirk Nr.;Statistischer Bezirk;Unterbezirk Nr.;Unterbezirk;Sozialraum Nr.;Sozialraum;Aktionsraum Nr;Aktionsraum
51.5592739331, 7.3898616659;2455;Sitzgelegenheiten;Sitzgelegenheiten;9;Mengede;930;Nette;930;Nette;123;Nette;123;Nette
51.4963659883, 7.5619043813;2459;Tischtennisplatte 2;Tischtennisplatten;4;Aplerbeck;410;Aplerbeck;411;Aplerbecker Straße;071;Aplerbeck;;
51.4988667647, 7.5363823685;2464;Hüpfpalisaden;Balanciergeräte;4;Aplerbeck;430;Schüren;431;Schüren-Neu;073;Schüren;;
51.4780851479, 7.5282718811;2465;Seilspielgerät mit Rutsche;Klettergeräte;4;Aplerbeck;420;Berghofen;421;Berghofen Dorf;072;Berghofen;;
51.4759574767, 7.5386548729;2466;Balancierbalken;Balanciergeräte;4;Aplerbeck;420;Berghofen;421;Berghofen Dorf;072;Berghofen;;
51.4988152047, 7.5365330086;2467;3er-Reck;Reckstangen;4;Aplerbeck;430;Schüren;431;Schüren-Neu;073;Schüren;;
51.4863301874, 7.5961089116;2468;Tischtennisplatte;Tischtennisplatten;4;Aplerbeck;450;Sölderholz;451;Sölderholz;074;Sölde/Sölderholz;;
51.486305196, 7.595963737;2471;Balanciergerät;Balanciergeräte;4;Aplerbeck;450;Sölderholz;451;Sölderholz;074;Sölde/Sölderholz;;
51.4964999724, 7.5623515151;2473;3er-Reck;Reckstangen;4;Aplerbeck;410;Aplerbeck;411;Aplerbecker Straße;071;Aplerbeck;;
51.4928730316, 7.5292677963;2477;Bolzplatztor 1;Bolzplatztore;4;Aplerbeck;430;Schüren;432;Schüren-Alt;073;Schüren;;
51.4965342975, 7.5623701;2478;"Drehspiel ""Wirbel""";Drehteller (Conlastic Schale u. ä. );4;Aplerbeck;410;Aplerbeck;411;Aplerbecker Straße;071;Aplerbeck;;
51.4838778131, 7.563050564;2481;Seilkletterkombi mit Balabciertau u. Hängematte;Klettergeräte;4;Aplerbeck;410;Aplerbeck;415;Aplerbeck Bahnhof Süd;071;Aplerbeck;;
51.4831686147, 7.5624809164;2490;Tischtennisplatte;Tischtennisplatten;4;Aplerbeck;410;Aplerbeck;415;Aplerbeck Bahnhof Süd;071;Aplerbeck;;
51.5027738595, 7.4673848993;2491;"Spieltisch ""Dame"" mit 4x Hocker";Sitzgelegenheiten;30;Innenstadt-Ost;090;Ruhrallee;092;Ruhrallee Ost;032;Südl. Gartenstadt/Ruhrallee/Westfalendamm;;
51.5140099747, 7.5098430066;2497;Bolzplatztor 1;Bolzplatztore;30;Innenstadt-Ost;070;Kaiserbrunnen;073;Körne;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;
