uuid,kreis_name,kreis_schluessel,gemeindeverband_name,gemeindeverband_schluessel,gemeinde_name,gemeinde_schluessel,strasse_name,strasse_schluessel
18ec0844-2914-4eb1-b599-b371ab1eeeed,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Matrosenweg,"13180"
bd5c6e23-3e2e-4247-9142-675d844ab20b,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Am Kranhaken,"10550"
df497a47-f3c7-4622-b49f-aea75e491050,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Schenkendorfweg,"08200"
8b9b9efc-5cf5-4b4d-9574-4133e2bd8815,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Feuerwehrstr.,"88340"
6b7a3c93-ab0b-4b4a-90e7-4977fb3302e5,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",An den Buhnen,"10800"
45608162-babb-42fc-b6d3-7bd364a7bde6,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",In der Wiese,"10180"
d9be28fc-e781-4905-833e-6558d6fee97e,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Robert-Beltz-Weg,"07980"
3a3c5346-28ff-4506-a533-9535fbedd488,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Boizenburger Str.,"13640"
ffcbc365-a13f-475c-9fd4-42e7a2945a2d,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Finkenbauer,"02410"
bfb5237f-a5d2-41db-9eeb-2d89c49d8400,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Stralsunder Str.,"08790"
5fc3600d-3917-4675-a60a-9ac55b689173,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Zur Feuerwehr,"13460"
4802d408-dd67-4fe5-adff-53eb91aae9aa,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Schnickmannstr.,"08320"
1f5f842a-ca06-4a84-a482-01ecc7439fa5,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Miningweg,"07000"
ad541414-166f-4b8c-bfd3-ebc3eb76c23f,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Schwentnerstr.,"00950"
ec49d988-afdd-4760-ab1f-393daf986bef,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Luisenstr.,"06770"
66d19d0d-2d62-4d2f-a744-256b56a9e540,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Dierkower Allee,"01810"
c1b81420-f902-4e43-b22d-7cd62b36c685,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Franz-Liszt-Str.,"02490"
b7497bbc-d94e-4ea2-a048-090c59215b41,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Up de Schnur,"10580"
e1321ea1-0197-4538-b819-765cc3a3046c,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Backbordstr.,"13310"
83528e7d-e84b-4276-87a4-1f3a05244db7,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Hannes-Meyer-Platz,"03310"
838361b8-2692-4058-bf05-91c466c5c18a,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Gerbergrabenweg,"13850"
a4e77e48-95a7-43a2-906c-402ca863f31d,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Crivitzer Weg,"10900"
44347f3d-183a-45b1-850c-7f8cb4084201,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Mohnblumenweg,"11850"
dda75045-b8dd-4584-9ea9-7684db6f800e,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Pennings Kuhl,"14290"
e33592a0-e16a-4ecb-9e96-a33ec8da83ae,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Kufsteiner Str.,"06320"
