Name;Straße;Hausnummer;Postleitzahl;Ort;Bemerkung;x;y
Deutsche Rentenversicherung;Huntestraße;11;26122;Oldenburg;Der AED ist möglicherweise nur während der Betriebs-Öffnungszeiten für Externe erreichbar. ;447756,9809;5887890,341
EWE Tel GmbH;Cloppenburger Straße;310;26133;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. - Do.: 7:00 - 17:00 Uhr und<br/>Fr.: 7:00 - 16:00 Uhr;447068,8479;5884869,913
Finanzamt für Fahndung und Strafsachen;Alter Postweg;13;26133;Oldenburg;Das Finanzamt für Fahndung und Strafsachen Oldenburg ist nicht öffentlich frei zugänglich.<br/>Ein Einlass wird nur nach Kontaktaufnahme , außer am Wochenende, über eine Gegensprechanlage gewährt.;447135,6184;5884505,221
Johanniter-Unfall-Hilfe e. V.;Alte Fleiwa;2a;26121;Oldenburg;Der AED ist in der Regel durchgängig erreichbar.<br/><br/>Standort: Eingang Rettungswache;446324,9607;5889131,917
Leffers GmbH & Co. KG;Lange Straße;80;26122;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. - Sa.: 10:00 - 19:00 Uhr<br/><br/>Standort: Hauptkasse im Erdgeschoss;447353,4244;5888332,963
Liebfrauenschule;Auguststraße;31;26121;Oldenburg;Der AED ist außerhalb der Schulferien erreichbar von:<br/>Mo. - Fr.: 06:30 - 17:00 Uhr<br/><br/>Standort: Flur neben Lehrerzimmer;446731,7246;5888577,539
LUFA Nord-West;Jägerstraße;23-27;26121;Oldenburg;Der AED ist möglicherweise nur während der Betriebs-Öffnungszeiten für Externe erreichbar.;446317,6131;5889345,31
Oberkirchenrat der Evangelisch-Lutherischen Kirche;Philosophenweg;1;26121;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. - Do.: 8:00 - 16:00 Uhr<br/>Fr.: 8:00 - 13:00 Uhr<br/><br/>Standort: Erdgeschoss, Raum 218;446393,0691;5888650,049
Oldenburger Tennisverein von 1905 e. V.;Johann-Justus-Weg;101;26127;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. - Fr.: 10:30 - 23:00 Uhr<br/>Am Wochenende in Verbindung mit den Punktspielen und der Öffnungszeit der Gastronomie.<br/><br/>Es gibt eine Zutrittskontrolle.<br/><br/>Standort: Eingangsbereich;445273,5261;5890205,028
Stadt Oldenburg, Fachstelle Eingliederungshilfe, ASD Team Mitte/Ost;Europaplatz;10-12;26123;Oldenburg;Der AED ist möglicherweise nur während der Betriebs-Öffnungszeiten für Externe erreichbar.<br/><br/>Standort:<br/>EG neben Eingangstür zu den Fachdiensten der Stadt Oldenburg;448269,0338;5888964,572
Johanniter-Unfall-Hilfe e. V.;Bloherfelder Straße;175;26129;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. - Fr. 08:00 - 20:00;444107,7881;5888322,478
