GENESIS-Tabelle: 31111-03-02-5-B
Genehmigungen für Wohnungen in Wohn- und Nichtwohngebäuden nach Zahl der Räume  - Jahressumme - regionale Ebenen;;;;;;
Statistik der Baugenehmigungen;;;;;;
Wohnungen in Wohn- und Nichtwohngebäuden (Anzahl);;;;;;
Jahr: 2008;;;;;;
;;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung
;;Insgesamt;1 oder 2 Räume;3 Räume;4 Räume;5 oder mehr Räume
01056009;Borstel-Hohenraden;5;3;1;0;1
01056010;Brande-Hörnerkirchen;-;0;0;0;0
01056011;Bullenkuhlen;2;0;0;1;1
01056013;Ellerbek;4;0;0;0;4
01056014;Ellerhoop;10;0;-1;2;9
01056015;Elmshorn, Stadt;213;55;79;17;62
01056016;Groß Nordende;-;0;0;0;0
01056017;Groß Offenseth-Aspern;-;0;0;0;0
01056018;Halstenbek;41;-1;2;5;35
01056019;Haselau;2;0;1;2;-1
01056020;Haseldorf;-;0;1;0;-1
01056021;Hasloh;19;-3;2;3;17
01056022;Heede;-;0;0;0;0
01056023;Heidgraben;9;0;1;1;7
01056024;Heist;5;0;1;1;3
01056025;Helgoland;-;0;0;0;0
01056026;Hemdingen;6;1;1;1;3
01056027;Hetlingen;-;0;0;-1;1
01056028;Holm;9;0;0;2;7
01056029;Klein Nordende;6;0;0;0;6
01056030;Klein Offenseth-Sparrieshoop;13;0;1;1;11
01056031;Kölln-Reisiek;10;0;0;1;9
01056032;Kummerfeld;1;0;0;0;1
01056033;Seester;-;0;0;0;0
01056034;Langeln;1;1;0;0;0
01056035;Lutzhorn;3;0;1;-1;3
01056036;Moorrege;17;0;-1;4;14
01056037;Neuendeich;-;0;0;0;0
01056038;Osterhorn;-;0;0;0;0
01056039;Pinneberg, Stadt;47;2;0;11;34
01056040;Prisdorf;13;0;0;3;10
01056041;Quickborn, Stadt;38;6;1;9;22
01056042;Raa-Besenbek;4;0;1;0;3
01056043;Rellingen;19;2;2;2;13
01056044;Schenefeld, Stadt;58;0;0;28;30
01056045;Seestermühe;-;0;0;0;0
01056046;Seeth-Ekholt;3;0;0;-1;4
01056047;Tangstedt;6;0;0;0;6
01056048;Tornesch, Stadt;66;0;50;9;7
01056049;Uetersen, Stadt;24;1;4;8;11
01056050;Wedel, Stadt;107;6;19;36;46
01056051;Westerhorn;3;0;1;1;1
01057001;Ascheberg (Holstein);15;0;7;8;0
01057002;Barmissen;-;0;0;0;0
01057003;Barsbek;-;0;0;0;0
01057004;Behrensdorf (Ostsee);1;0;0;0;1
01057005;Belau;-;0;0;0;0
01057006;Bendfeld;-;0;0;0;0
01057007;Blekendorf;4;1;1;-1;3
01057008;Bönebüttel;3;0;0;0;3
01057009;Bösdorf;1;0;0;0;1
01057010;Boksee;3;0;0;1;2
01057011;Bothkamp;-;0;0;0;0
01057012;Brodersdorf;-;0;0;0;0
01057013;Dannau;1;0;0;1;0
01057015;Dersau;-;0;0;0;0
01057016;Dobersdorf;1;0;0;0;1
01057017;Dörnick;-;0;0;0;0
01057018;Fahren;-;0;0;0;0
01057020;Fiefbergen;-;0;0;0;0
01057021;Giekau;-;0;0;-1;1
01057022;Grebin;4;0;2;1;1
01057023;Großbarkau;-;0;0;0;0
01057024;Großharrie;-;0;0;0;0
01057025;Heikendorf;25;0;2;12;11
01057026;Helmstorf;-;0;0;0;0
01057027;Högsdorf;1;0;0;1;0
01057028;Höhndorf;-;0;0;0;0
01057029;Hohenfelde;2;1;0;1;0
01057030;Hohwacht (Ostsee);3;0;0;-3;6
01057031;Honigsee;-;0;0;0;0
01057032;Kalübbe;-;0;0;-1;1
01057033;Kirchbarkau;1;-1;0;1;1
01057034;Kirchnüchel;-;0;0;0;0
01057035;Klamp;1;0;0;0;1
01057037;Klein Barkau;1;1;0;0;0
01057038;Kletkamp;-;0;0;0;0
01057039;Köhn;-;0;-1;0;1
01057040;Krokau;1;1;0;0;0
01057041;Krummbek;-;0;-1;0;1
01057042;Kühren;-;0;0;0;0
01057043;Laboe;3;0;0;-1;4
01057044;Lammershagen;-;0;0;0;0
01057045;Lebrade;-;0;0;0;0
01057046;Lehmkuhlen;1;0;0;0;1
01057047;Löptin;1;0;0;0;1
01057048;Lütjenburg, Stadt;1;0;0;1;0
01057049;Lutterbek;-;0;0;0;0
01057050;Martensrade;-;0;0;0;0
01057051;Mönkeberg;49;6;42;-1;2
01057052;Mucheln;-;0;0;0;0
01057053;Nehmten;-;0;0;0;0
01057054;Nettelsee;1;0;0;0;1
01057055;Panker;-;0;0;0;0
01057056;Passade;2;1;0;0;1
01057057;Plön, Stadt;11;0;0;-1;12
01057058;Pohnsdorf;2;0;0;0;2
01057059;Postfeld;1;0;2;0;-1
01057060;Prasdorf;1;0;1;0;0
01057062;Preetz, Stadt;25;0;0;3;22
01057063;Probsteierhagen;1;0;0;-1;2
01057065;Rantzau;2;0;1;1;0
01057066;Rastorf;-;0;0;0;0
01057067;Rathjensdorf;2;0;0;1;1
01057068;Rendswühren;-;0;0;0;0
01057069;Ruhwinkel;2;0;0;0;2
01057070;Schellhorn;4;0;0;1;3
01057071;Schillsdorf;1;0;1;0;0
01057072;Schlesen;1;0;0;0;1
01057073;Schönberg (Holstein);12;-3;-1;1;15
01057074;Schönkirchen;5;0;-1;1;5
01057076;Schwartbuck;1;0;1;0;0
01057077;Selent;2;0;0;0;2
01057078;Stakendorf;-;0;0;0;0
01057079;Stein;2;1;1;0;0
01057080;Stolpe;1;0;0;-1;2
01057081;Stoltenberg;-;0;0;0;0
01057082;Tröndel;-;0;0;0;0
01057083;Tasdorf;2;0;0;1;1
01057084;Wahlstorf;-;-1;0;1;0
01057085;Wankendorf;-;0;0;0;0
01057086;Warnau;-;0;0;0;0
01057087;Wendtorf;-;0;0;0;0
01057088;Wisch;1;0;0;1;0
01057089;Wittmoldt;1;0;0;0;1
01057090;Fargau-Pratjau;-;0;0;0;0
01057091;Schwentinental, Stadt;9;0;-1;1;9
01058001;Achterwehr;3;0;0;0;3
01058003;Alt Duvenstedt;2;1;0;0;1
01058004;Altenhof;-;0;0;0;0
01058005;Altenholz;14;0;0;2;12
01058007;Arpsdorf;4;0;0;2;2
01058008;Ascheffel;2;0;0;1;1
01058009;Aukrug;1;-1;0;0;2
01058010;Bargstall;-;0;0;0;0
01058011;Bargstedt;1;0;0;0;1
01058012;Barkelsby;3;0;0;0;3
01058013;Beldorf;-;0;0;0;0
01058014;Bendorf;-;0;0;0;0
01058015;Beringstedt;1;0;0;-1;2
01058016;Bissee;-;0;0;0;0
01058018;Blumenthal;-;0;0;0;0
01058019;Böhnhusen;-;0;0;0;0
01058021;Bokel;1;0;0;1;0
01058022;Bordesholm;15;1;5;1;8
01058023;Borgdorf-Seedorf;-;0;0;0;0
01058024;Borgstedt;-;0;0;-1;1
01058025;Bornholt;1;0;0;1;0
01058026;Bovenau;-;0;-1;0;1
01058027;Brammer;-;0;0;0;0
01058028;Bredenbek;11;0;0;1;10
01058029;Breiholz;1;0;-1;1;1
01058030;Brekendorf;-;0;0;0;0
01058031;Brinjahe;-;0;0;0;0
01058032;Brodersby;1;0;0;1;0
01058033;Brügge;-;0;0;0;0
01058034;Büdelsdorf, Stadt;5;0;0;1;4
01058035;Bünsdorf;1;0;0;0;1
01058036;Christiansholm;-;0;0;0;0
01058037;Dänischenhagen;20;0;0;1;19
01058038;Dätgen;-;0;0;0;0
